employee_id,p_attrition,median_survival_months,ev,risk_tier,top_shap_drivers,band,circle,department,gender,tenure_months,compa_ratio,perf_rating_current,months_since_promotion,months_since_hike
JIO10026,1.0,inf,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 75.9847}, {""feature"": ""login_freq_30d"", ""shap"": -34.1022}, {""feature"": ""career_tenure_at_band"", ""shap"": -19.685}]",6.0,Punjab,Technology,F,140.0,1.07,3.21,39.0,10.0
JIO10025,0.999999999999555,121.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 67.0441}, {""feature"": ""login_freq_30d"", ""shap"": -53.2089}, {""feature"": ""career_promotion_velocity"", ""shap"": 15.3876}]",3.0,West Bengal,IT,M,33.0,1.0,3.45,9.0,4.0
JIO10024,1.0,157.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 151.9793}, {""feature"": ""login_freq_30d"", ""shap"": -44.3798}, {""feature"": ""career_tenure_at_band"", ""shap"": -19.685}]",6.0,Karnataka,Network,M,89.0,1.025,3.21,39.0,7.0
JIO10054,1.0,135.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 125.1577}, {""feature"": ""login_freq_30d"", ""shap"": -42.1726}, {""feature"": ""career_promotion_velocity"", ""shap"": 14.9215}]",3.0,Tamil Nadu,HR,F,32.0,1.065,3.49,13.0,3.0
JIO10053,1.0,inf,400000.0,CRITICAL,"[{""feature"": ""career_promotion_velocity"", ""shap"": 80.1752}, {""feature"": ""recency_manager_change"", ""shap"": 58.1036}, {""feature"": ""login_freq_30d"", ""shap"": -53.4158}]",3.0,Maharashtra,HR,F,172.0,1.224,3.89,33.0,22.0
JIO10052,1.0,149.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 71.5144}, {""feature"": ""career_promotion_velocity"", ""shap"": 71.3193}, {""feature"": ""login_freq_30d"", ""shap"": -39.7813}]",3.0,UP East,Sales,M,153.0,0.874,4.55,38.0,8.0
JIO10051,1.0,171.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 138.5685}, {""feature"": ""login_freq_30d"", ""shap"": -32.9756}, {""feature"": ""career_promotion_velocity"", ""shap"": 15.9702}]",6.0,Punjab,Operations,F,137.0,1.04,4.21,23.0,9.0
JIO10050,1.0,inf,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 98.336}, {""feature"": ""login_freq_30d"", ""shap"": -53.4618}, {""feature"": ""career_promotion_velocity"", ""shap"": 36.362}]",4.0,Tamil Nadu,Operations,F,156.0,0.741,3.68,35.0,17.0
JIO10049,1.0,172.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 138.5685}, {""feature"": ""login_freq_30d"", ""shap"": -30.4924}, {""feature"": ""career_promotion_velocity"", ""shap"": 25.6417}]",4.0,Rajasthan,Finance,M,110.0,1.122,3.89,8.0,2.0
JIO10048,0.9999999999981457,174.0,400000.0,CRITICAL,"[{""feature"": ""login_freq_30d"", ""shap"": -47.7597}, {""feature"": ""career_promotion_velocity"", ""shap"": 37.5272}, {""feature"": ""recency_manager_change"", ""shap"": 22.3414}]",4.0,Gujarat,HR,M,161.0,1.091,3.22,8.0,20.0
JIO10047,1.0,74.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 26.8116}, {""feature"": ""career_promotion_velocity"", ""shap"": 24.2434}, {""feature"": ""login_freq_30d"", ""shap"": -23.8706}]",3.0,Delhi,Technology,M,52.0,1.005,2.74,7.0,17.0
JIO10046,1.0,134.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 98.336}, {""feature"": ""career_promotion_velocity"", ""shap"": 56.4042}, {""feature"": ""login_freq_30d"", ""shap"": -23.3418}]",3.0,Karnataka,HR,M,121.0,0.774,4.24,11.0,4.0
JIO10045,1.0,105.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 111.7469}, {""feature"": ""login_freq_30d"", ""shap"": -31.0672}, {""feature"": ""career_promotion_velocity"", ""shap"": 19.1164}]",3.0,Mumbai,Network,M,41.0,1.035,3.14,13.0,23.0
JIO10044,1.0,61.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 129.628}, {""feature"": ""login_freq_30d"", ""shap"": -45.1616}, {""feature"": ""career_tenure_at_band"", ""shap"": -5.5239}]",7.0,Delhi,IT,M,24.0,0.746,2.77,11.0,19.0
JIO10043,1.0,173.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 125.1577}, {""feature"": ""login_freq_30d"", ""shap"": -37.4591}, {""feature"": ""career_promotion_velocity"", ""shap"": 29.6036}]",4.0,Tamil Nadu,HR,M,127.0,1.178,3.54,10.0,17.0
JIO10042,1.0,52.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 84.9252}, {""feature"": ""login_freq_30d"", ""shap"": -28.0552}, {""feature"": ""career_promotion_velocity"", ""shap"": 7.697}]",4.0,Karnataka,Technology,F,33.0,0.832,3.07,1.0,5.0
JIO10041,1.0,107.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 116.2171}, {""feature"": ""login_freq_30d"", ""shap"": -40.2642}, {""feature"": ""career_promotion_velocity"", ""shap"": 4.2012}]",3.0,West Bengal,Technology,M,9.0,0.809,3.37,5.0,21.0
JIO10039,1.0,156.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 120.6874}, {""feature"": ""login_freq_30d"", ""shap"": -44.7477}, {""feature"": ""career_promotion_velocity"", ""shap"": 31.701}]",3.0,Delhi,IT,F,68.0,0.942,4.15,21.0,16.0
JIO10070,1.0,127.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 80.4549}, {""feature"": ""login_freq_30d"", ""shap"": -30.4235}, {""feature"": ""career_tenure_at_band"", ""shap"": -6.5354}]",7.0,Punjab,Sales,F,19.0,1.038,3.53,13.0,22.0
JIO10069,1.0,119.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 116.2171}, {""feature"": ""login_freq_30d"", ""shap"": -41.8047}, {""feature"": ""career_promotion_velocity"", ""shap"": 34.4976}]",3.0,Maharashtra,HR,F,74.0,0.846,3.22,40.0,3.0
JIO10068,1.0,107.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 111.7469}, {""feature"": ""login_freq_30d"", ""shap"": -32.4008}, {""feature"": ""career_tenure_at_band"", ""shap"": -15.639}]",4.0,Gujarat,Finance,F,59.0,0.846,2.95,31.0,6.0
JIO10067,1.0,129.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 151.9793}, {""feature"": ""career_promotion_velocity"", ""shap"": 59.2008}, {""feature"": ""login_freq_30d"", ""shap"": -44.8627}]",3.0,Karnataka,HR,M,127.0,0.954,3.84,32.0,16.0
JIO10066,1.0,119.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 138.5685}, {""feature"": ""login_freq_30d"", ""shap"": -39.8043}, {""feature"": ""career_tenure_at_band"", ""shap"": -21.2022}]",5.0,Punjab,Finance,M,44.0,1.014,3.52,42.0,19.0
JIO10065,0.9999999890001948,150.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 22.3414}, {""feature"": ""login_freq_30d"", ""shap"": -14.9496}, {""feature"": ""career_promotion_velocity"", ""shap"": 10.8431}]",6.0,Karnataka,IT,M,93.0,0.952,2.42,20.0,9.0
JIO10064,0.9999999997805786,138.0,400000.0,CRITICAL,"[{""feature"": ""login_freq_30d"", ""shap"": -39.2755}, {""feature"": ""recency_manager_change"", ""shap"": 26.8116}, {""feature"": ""career_promotion_velocity"", ""shap"": 26.3409}]",4.0,UP East,Sales,M,113.0,0.934,4.46,10.0,21.0
JIO10063,1.0,64.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 125.1577}, {""feature"": ""login_freq_30d"", ""shap"": -25.5491}, {""feature"": ""career_tenure_at_band"", ""shap"": -22.2138}]",4.0,Mumbai,IT,M,54.0,0.787,4.28,44.0,19.0
JIO10062,1.0,101.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 75.9847}, {""feature"": ""login_freq_30d"", ""shap"": -37.4821}, {""feature"": ""career_promotion_velocity"", ""shap"": 5.8326}]",4.0,West Bengal,Operations,M,25.0,0.895,3.73,9.0,15.0
JIO10061,1.0,141.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 71.5144}, {""feature"": ""login_freq_30d"", ""shap"": -40.724}, {""feature"": ""career_promotion_velocity"", ""shap"": 34.7306}]",4.0,Tamil Nadu,Finance,M,149.0,1.106,3.23,7.0,13.0
JIO10060,1.0,56.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 116.2171}, {""feature"": ""login_freq_30d"", ""shap"": -28.699}, {""feature"": ""overload_afterhours_login"", ""shap"": 4.4309}]",6.0,Tamil Nadu,Network,M,10.0,0.893,4.05,7.0,1.0
JIO10059,1.0,77.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 89.3955}, {""feature"": ""login_freq_30d"", ""shap"": -52.3582}, {""feature"": ""band"", ""shap"": 2.757}]",7.0,Punjab,Technology,M,21.0,0.878,1.82,3.0,10.0
JIO10058,1.0,173.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 98.336}, {""feature"": ""login_freq_30d"", ""shap"": -37.873}, {""feature"": ""career_promotion_velocity"", ""shap"": 24.3988}]",5.0,Gujarat,Sales,M,157.0,1.147,3.25,12.0,16.0
JIO10057,1.0,33.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 120.6874}, {""feature"": ""login_freq_30d"", ""shap"": -37.4131}, {""feature"": ""leave_days_30d"", ""shap"": 5.436}]",5.0,Rajasthan,Technology,M,7.0,1.082,2.04,6.0,4.0
JIO10056,0.9999999999999785,175.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 44.6927}, {""feature"": ""login_freq_30d"", ""shap"": -36.1945}, {""feature"": ""career_promotion_velocity"", ""shap"": 18.6503}]",6.0,Maharashtra,HR,M,160.0,0.892,3.78,22.0,18.0
JIO10055,1.0,173.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 102.8063}, {""feature"": ""login_freq_30d"", ""shap"": -57.4625}, {""feature"": ""career_promotion_velocity"", ""shap"": 37.9933}]",4.0,Rajasthan,Technology,M,163.0,1.009,3.78,17.0,13.0
JIO10084,1.0,155.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 62.5738}, {""feature"": ""login_freq_30d"", ""shap"": -29.5268}, {""feature"": ""career_promotion_velocity"", ""shap"": 16.0867}]",6.0,Gujarat,Operations,F,138.0,0.921,2.88,15.0,11.0
JIO10083,1.0,124.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 71.5144}, {""feature"": ""login_freq_30d"", ""shap"": -33.7114}, {""feature"": ""career_promotion_velocity"", ""shap"": 23.7774}]",4.0,Karnataka,Finance,M,102.0,1.246000000000005,4.07,22.0,14.0
JIO10082,1.0,inf,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 40.2225}, {""feature"": ""career_promotion_velocity"", ""shap"": 38.4594}, {""feature"": ""login_freq_30d"", ""shap"": -31.9869}]",4.0,Rajasthan,Operations,M,165.0,0.887,3.72,4.0,16.0
JIO10080,1.0,inf,400000.0,CRITICAL,"[{""feature"": ""career_promotion_velocity"", ""shap"": 82.9718}, {""feature"": ""login_freq_30d"", ""shap"": -28.0322}, {""feature"": ""recency_manager_change"", ""shap"": 22.3414}]",3.0,Rajasthan,Network,M,178.0,0.913,3.39,2.0,10.0
JIO10079,1.0,69.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 147.5091}, {""feature"": ""career_tenure_at_band"", ""shap"": -15.639}, {""feature"": ""login_freq_30d"", ""shap"": -14.6507}]",4.0,Karnataka,Network,M,41.0,1.142,2.13,31.0,21.0
JIO10077,1.0,178.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 138.5685}, {""feature"": ""login_freq_30d"", ""shap"": -46.2882}, {""feature"": ""career_tenure_at_band"", ""shap"": -22.2138}]",5.0,Gujarat,Sales,M,109.0,0.78,4.03,44.0,6.0
JIO10075,1.0,inf,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 80.4549}, {""feature"": ""login_freq_30d"", ""shap"": -44.6097}, {""feature"": ""career_promotion_velocity"", ""shap"": 27.6615}]",5.0,Rajasthan,Network,M,178.0,0.927,3.45,27.0,3.0
JIO10074,0.9999999999999398,91.0,400000.0,CRITICAL,"[{""feature"": ""login_freq_30d"", ""shap"": -37.6201}, {""feature"": ""recency_manager_change"", ""shap"": 35.7522}, {""feature"": ""career_promotion_velocity"", ""shap"": 12.2414}]",6.0,Maharashtra,Sales,M,105.0,0.826,2.51,15.0,16.0
JIO10073,0.999999998085723,157.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 35.7522}, {""feature"": ""login_freq_30d"", ""shap"": -32.9756}, {""feature"": ""career_promotion_velocity"", ""shap"": 26.3409}]",4.0,Rajasthan,Sales,F,113.0,0.934,3.24,47.0,18.0
JIO10072,1.0,87.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 116.2171}, {""feature"": ""login_freq_30d"", ""shap"": -47.6447}, {""feature"": ""overload_afterhours_login"", ""shap"": 2.684}]",4.0,Gujarat,Operations,F,4.0,0.849,3.16,4.0,2.0
JIO11765,1.0,169.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 116.2171}, {""feature"": ""login_freq_30d"", ""shap"": -29.6187}, {""feature"": ""career_tenure_at_band"", ""shap"": -22.2138}]",6.0,Tamil Nadu,Technology,F,140.0,1.13,3.74,44.0,6.0
JIO11763,1.0,76.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 75.9847}, {""feature"": ""login_freq_30d"", ""shap"": -22.2152}, {""feature"": ""career_promotion_velocity"", ""shap"": 16.5528}]",4.0,Mumbai,Network,M,71.0,0.929,3.16,1.0,12.0
JIO11762,1.0,154.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 98.336}, {""feature"": ""login_freq_30d"", ""shap"": -38.6547}, {""feature"": ""career_promotion_velocity"", ""shap"": 26.5739}]",4.0,Mumbai,IT,M,114.0,0.922,4.24,21.0,4.0
JIO11761,1.0,66.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 138.5685}, {""feature"": ""login_freq_30d"", ""shap"": -26.9746}, {""feature"": ""career_promotion_velocity"", ""shap"": 8.1631}]",4.0,Maharashtra,Technology,M,35.0,0.745,2.11,14.0,8.0
JIO11759,1.0,96.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 134.0982}, {""feature"": ""career_promotion_velocity"", ""shap"": 41.9552}, {""feature"": ""login_freq_30d"", ""shap"": -30.7913}]",3.0,Punjab,Network,M,90.0,0.907,3.23,30.0,16.0
JIO11758,0.9999999999991838,inf,400000.0,CRITICAL,"[{""feature"": ""career_promotion_velocity"", ""shap"": 78.3108}, {""feature"": ""login_freq_30d"", ""shap"": -47.2309}, {""feature"": ""career_tenure_at_band"", ""shap"": -21.2022}]",3.0,Delhi,Operations,M,168.0,1.038,3.33,42.0,9.0
JIO11757,1.0,48.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 80.4549}, {""feature"": ""login_freq_30d"", ""shap"": -29.6647}, {""feature"": ""career_tenure_at_band"", ""shap"": -3.5009}]",4.0,Tamil Nadu,Operations,F,9.0,1.091,3.52,7.0,22.0
JIO11756,1.0,162.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 62.5738}, {""feature"": ""login_freq_30d"", ""shap"": -43.943}, {""feature"": ""career_promotion_velocity"", ""shap"": 34.9637}]",4.0,Karnataka,IT,F,150.0,1.148,4.08,22.0,9.0
JIO11754,0.9999999998961897,175.0,400000.0,CRITICAL,"[{""feature"": ""login_freq_30d"", ""shap"": -49.0013}, {""feature"": ""recency_manager_change"", ""shap"": 35.7522}, {""feature"": ""career_promotion_velocity"", ""shap"": 25.4864}]",5.0,Gujarat,HR,F,164.0,0.908,3.14,11.0,10.0
JIO11753,1.0,154.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 151.9793}, {""feature"": ""career_promotion_velocity"", ""shap"": 68.9888}, {""feature"": ""login_freq_30d"", ""shap"": -29.1129}]",3.0,Karnataka,Network,M,148.0,0.926,2.68,34.0,14.0
JIO11752,1.0,139.0,400000.0,CRITICAL,"[{""feature"": ""login_freq_30d"", ""shap"": -57.4625}, {""feature"": ""recency_manager_change"", ""shap"": 49.163}, {""feature"": ""career_promotion_velocity"", ""shap"": 46.6161}]",3.0,Karnataka,Finance,F,100.0,0.828,3.25,2.0,19.0
JIO11751,1.0,142.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 102.8063}, {""feature"": ""login_freq_30d"", ""shap"": -32.1709}, {""feature"": ""career_promotion_velocity"", ""shap"": 22.3791}]",4.0,Karnataka,Technology,F,96.0,0.883,3.16,40.0,8.0
JIO10101,1.0,113.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 129.628}, {""feature"": ""login_freq_30d"", ""shap"": -23.2728}, {""feature"": ""career_promotion_velocity"", ""shap"": 20.9808}]",5.0,West Bengal,Technology,F,135.0,0.828,3.76,18.0,21.0
JIO10100,1.0,141.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 111.7469}, {""feature"": ""career_promotion_velocity"", ""shap"": 27.7392}, {""feature"": ""login_freq_30d"", ""shap"": -15.5934}]",4.0,Tamil Nadu,HR,F,119.0,0.903,4.25,18.0,18.0
JIO10099,0.9999999980286787,140.0,400000.0,CRITICAL,"[{""feature"": ""career_promotion_velocity"", ""shap"": 54.0737}, {""feature"": ""login_freq_30d"", ""shap"": -44.1959}, {""feature"": ""career_tenure_at_band"", ""shap"": -16.1447}]",3.0,Punjab,Finance,M,116.0,0.734,3.58,32.0,13.0
JIO10098,0.9999997903615003,43.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 26.8116}, {""feature"": ""login_freq_30d"", ""shap"": -23.1579}, {""feature"": ""leave_days_30d"", ""shap"": 5.8436}]",4.0,Rajasthan,HR,M,17.0,0.779,3.96,4.0,5.0
JIO10097,1.0,172.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 102.8063}, {""feature"": ""login_freq_30d"", ""shap"": -48.1276}, {""feature"": ""career_promotion_velocity"", ""shap"": 29.8366}]",4.0,Mumbai,Sales,F,128.0,1.116,3.97,4.0,12.0
