employee_id,band,circle,department,gender,tenure_months,months_since_promotion,months_since_hike,months_since_manager_changed,compa_ratio,perf_rating_current,hike_vs_band_median,login_freq_30d,training_completions_90d,leave_days_30d,login_freq_slope_30d,performance_rating_delta,peer_attrition_count_90d,manager_attrition_rate_6m,team_size_change_pct,attrition_flag
JIO10029,3.0,Punjab,Technology,F,96.0,45.0,10.0,25.0,0.972,3.44,3.89,14.25,1.0,0.0,0.856,-0.335,0.0,0.223,-0.115,0.0
JIO10030,3.0,Karnataka,Technology,F,86.0,29.0,23.0,19.0,0.927,3.58,-2.2,12.63,2.0,1.0,0.892,0.486,1.0,0.181,-0.013,0.0
JIO10031,3.0,Tamil Nadu,Sales,F,86.0,11.0,12.0,1.0,1.001,4.09,-2.71,21.23,0.0,3.28,-0.14,0.165,0.0,0.133,0.121,0.0
JIO10032,4.0,Delhi,HR,M,152.0,32.0,3.0,24.0,0.981,3.53,1.82,15.36,2.0,2.45,0.858,-0.119,0.0,0.149,-0.098,0.0
JIO10033,3.0,Tamil Nadu,Finance,M,49.0,15.0,23.0,13.0,0.812,3.24,-0.89,21.72,3.0,2.03,0.196,-0.338,0.0,0.01,-0.017,0.0
JIO10034,6.0,Gujarat,Sales,F,167.0,38.0,16.0,3.0,1.133,1.82,2.16,16.09,0.0,3.12,-0.622,-0.128,2.0,0.035,0.007,0.0
JIO10035,4.0,Karnataka,IT,F,62.0,43.0,14.0,1.0,1.246,3.15,-2.12,3.66999999999989,1.0,4.85,-0.302,-0.857,1.0,0.476,-0.125,1.0
JIO10036,6.0,Delhi,Sales,F,11.0,7.0,19.0,27.0,1.066,3.33,3.37,15.93,2.0,1.6,0.718,-0.1,1.0,0.339,-0.063,0.0
JIO10037,3.0,Punjab,Finance,F,29.0,7.0,4.0,32.0,1.186,3.6,-2.88,9.86,2.0,4.32,-0.237,-0.287,4.0,0.424,-0.142,1.0
JIO10038,4.0,Maharashtra,Finance,F,166.0,44.0,18.0,15.0,0.993,3.29,2.47,10.19,1.0,5.15,-1.357,-0.399,0.0,0.165,-0.16,1.0
JIO10039,3.0,Delhi,IT,F,68.0,21.0,16.0,27.0,0.942,4.15,-3.05,19.47,0.0,1.71,0.776,0.077,1.0,0.114,-0.016,0.0
JIO10040,5.0,Tamil Nadu,Network,M,27.0,25.0,5.0,2.0,1.055,2.11,-0.9,13.35,2.0,6.35,0.801,-0.768,0.0,0.214,-0.023,0.0
JIO10041,3.0,West Bengal,Technology,M,9.0,5.0,21.0,26.0,0.809,3.37,-2.02,17.52,7.0,0.73,0.526,0.396,0.0,0.026,0.004,0.0
JIO10042,4.0,Karnataka,Technology,F,33.0,1.0,5.0,19.0,0.832,3.07,4.44,12.21,0.0,4.37,-0.516,0.008,2.0,0.394,-0.041,1.0
JIO10043,4.0,Tamil Nadu,HR,M,127.0,10.0,17.0,28.0,1.178,3.54,-1.43,16.3,3.0,0.53,0.629,-0.071,0.0,0.033,-0.121,0.0
JIO10044,7.0,Delhi,IT,M,24.0,11.0,19.0,29.0,0.746,2.77,2.69,19.65,5.0,0.58,-0.47,0.536,0.0,0.254,0.149,0.0
JIO10045,3.0,Mumbai,Network,M,41.0,13.0,23.0,25.0,1.035,3.14,-3.98,13.52,3.0,2.43,0.341,0.127,0.0,0.423,0.058,0.0
JIO10046,3.0,Karnataka,HR,M,121.0,11.0,4.0,22.0,0.774,4.24,-5.8,10.16,0.0,2.31,-0.348,-0.233,2.0,0.136,-0.064,1.0
JIO10047,3.0,Delhi,Technology,M,52.0,7.0,17.0,6.0,1.005,2.74,1.86,10.39,1.0,4.13,-0.451,-0.123,0.0,0.343,-0.267,1.0
JIO10048,4.0,Gujarat,HR,M,161.0,8.0,20.0,5.0,1.091,3.22,5.12,20.78,4.0,3.97,-0.384,0.488,1.0,0.181,0.096,0.0
JIO10049,4.0,Rajasthan,Finance,M,110.0,8.0,2.0,31.0,1.122,3.89,-1.57,13.27,4.0,2.09,0.655,0.145,0.0,0.038,-0.042,0.0
JIO10050,4.0,Tamil Nadu,Operations,F,156.0,35.0,17.0,22.0,0.741,3.68,-0.33,23.26,2.0,1.65,0.361,0.05,0.0,0.204,-0.09,0.0
JIO10051,6.0,Punjab,Operations,F,137.0,23.0,9.0,31.0,1.04,4.21,-3.47,14.35,3.0,1.83,-0.084,0.072,1.0,0.048,0.05,0.0
JIO10052,3.0,UP East,Sales,M,153.0,38.0,8.0,16.0,0.874,4.55,0.66,17.31,0.0,2.52,-0.885,-0.505,1.0,0.215,-0.24,1.0
JIO10053,3.0,Maharashtra,HR,F,172.0,33.0,22.0,13.0,1.224,3.89,-2.38,23.24,1.0,3.54,0.65,-0.005,0.0,0.072,0.035,0.0
JIO10054,3.0,Tamil Nadu,HR,F,32.0,13.0,3.0,28.0,1.065,3.49,0.17,18.35,2.0,3.56,0.305,0.973,3.0,0.058,0.105,0.0
JIO10055,4.0,Rajasthan,Technology,M,163.0,17.0,13.0,23.0,1.009,3.78,-5.01,25.0,2.0,2.05,-0.276,-0.007,0.0,0.015,0.048,0.0
JIO10056,6.0,Maharashtra,HR,M,160.0,22.0,18.0,10.0,0.892,3.78,-6.88,15.75,1.0,1.88,0.271,-0.12,0.0,0.256,0.082,0.0
JIO10057,5.0,Rajasthan,Technology,M,7.0,6.0,4.0,27.0,1.082,2.04,-1.65,16.28,2.0,3.59,-1.213,0.062,2.0,0.121,-0.162,1.0
JIO10058,5.0,Gujarat,Sales,M,157.0,12.0,16.0,22.0,1.147,3.25,2.57,16.48,4.0,3.05,0.047,0.454,0.0,0.503,0.071,0.0
JIO10059,7.0,Punjab,Technology,M,21.0,3.0,10.0,20.0,0.878,1.82,-0.79,22.78,1.0,1.3,0.092,0.432,1.0,0.44,-0.019,0.0
JIO10060,6.0,Tamil Nadu,Network,M,10.0,7.0,1.0,26.0,0.893,4.05,-3.53,12.49,0.0,2.92,-0.519,0.001,1.0,0.029,-0.054,1.0
JIO10061,4.0,Tamil Nadu,Finance,M,149.0,7.0,13.0,16.0,1.106,3.23,0.11,17.72,0.0,4.62,-0.841,-0.204,2.0,0.281,-0.177,1.0
JIO10062,4.0,West Bengal,Operations,M,25.0,9.0,15.0,17.0,0.895,3.73,-1.5,16.31,3.0,2.92,0.732,-0.407,0.0,0.121,0.155,0.0
JIO10063,4.0,Mumbai,IT,M,54.0,44.0,19.0,28.0,0.787,4.28,-2.76,11.12,1.0,7.08,-0.736,-0.407,2.0,0.227,-0.144,1.0
JIO10064,4.0,UP East,Sales,M,113.0,10.0,21.0,6.0,0.934,4.46,0.31,17.09,4.0,1.06,-0.414,-0.311,0.0,0.007,0.069,0.0
JIO10065,6.0,Karnataka,IT,M,93.0,20.0,9.0,5.0,0.952,2.42,-1.07,6.51,3.0,2.26,0.308,-0.101,2.0,0.02,-0.08,0.0
JIO10066,5.0,Punjab,Finance,M,44.0,42.0,19.0,31.0,1.014,3.52,0.27,17.32,3.0,2.67,0.047,0.424,2.0,0.181,0.055,0.0
JIO10067,3.0,Karnataka,HR,M,127.0,32.0,16.0,34.0,0.954,3.84,3.92,19.52,0.0,5.22,-0.279,-0.922,0.0,0.339,0.081,0.0
JIO10068,4.0,Gujarat,Finance,F,59.0,31.0,6.0,25.0,0.846,2.95,-6.01,14.1,4.0,3.19,-0.205,0.14,0.0,0.04,-0.042,0.0
JIO10069,3.0,Maharashtra,HR,F,74.0,40.0,3.0,26.0,0.846,3.22,1.45,18.19,2.0,3.94,-0.476,0.554,1.0,0.157,0.008,0.0
JIO10070,7.0,Punjab,Sales,F,19.0,13.0,22.0,18.0,1.038,3.53,4.02,13.24,0.0,2.12,0.625,1.006,2.0,0.195,-0.027,0.0
JIO10071,5.0,Mumbai,IT,M,131.0,47.0,20.0,4.0,1.012,3.45,0.67,19.0,2.0,3.13,0.783,0.28,2.0,0.008,0.027,0.0
JIO10072,4.0,Gujarat,Operations,F,4.0,4.0,2.0,26.0,0.849,3.16,-2.88,20.73,0.0,1.61,0.263,0.361,1.0,0.083,-0.129,0.0
JIO10073,4.0,Rajasthan,Sales,F,113.0,47.0,18.0,8.0,0.934,3.24,-2.66,14.35,2.0,3.38,-0.453,0.343,0.0,0.053,-0.005,1.0
JIO10074,6.0,Maharashtra,Sales,M,105.0,15.0,16.0,8.0,0.826,2.51,-1.37,16.37,0.0,6.75,-0.634,-0.48,1.0,0.392,-0.11,1.0
JIO10075,5.0,Rajasthan,Network,M,178.0,27.0,3.0,18.0,0.927,3.45,-6.79,19.41,3.0,2.47,0.192,-0.064,1.0,0.222,-0.233,0.0
JIO10076,3.0,Gujarat,HR,F,46.0,38.0,20.0,5.0,0.796,3.06,-3.31,14.12,2.0,3.29,-0.522,0.047,0.0,0.211,-0.133,1.0
JIO10077,5.0,Gujarat,Sales,M,109.0,44.0,6.0,31.0,0.78,4.03,2.82,20.14,4.0,4.2,1.03,0.028,0.0,0.17,0.12,0.0
JIO10078,4.0,Delhi,Sales,M,51.0,27.0,2.0,4.0,0.995,3.93,-1.16,11.23,1.0,3.34,-0.563,-0.244,4.0,0.207,-0.017,1.0
JIO10079,4.0,Karnataka,Network,M,41.0,31.0,21.0,33.0,1.142,2.13,-1.98,6.38,2.0,3.84,-0.58,-0.356,2.0,0.088,-0.211,1.0
JIO10080,3.0,Rajasthan,Network,M,178.0,2.0,10.0,5.0,0.913,3.39,-2.44,12.2,1.0,1.88,0.578,-0.066,0.0,0.648000000000003,0.018,0.0
JIO10081,4.0,Delhi,Operations,M,68.0,12.0,1.0,5.0,0.968,3.68,1.64,22.08,2.0,3.45,-0.053,-0.335,2.0,0.252,0.064,0.0
JIO10082,4.0,Rajasthan,Operations,M,165.0,4.0,16.0,9.0,0.887,3.72,-0.43,13.92,1.0,2.99,0.802,0.156,1.0,0.475,-0.082,0.0
JIO10083,4.0,Karnataka,Finance,M,102.0,22.0,14.0,16.0,1.246000000000005,4.07,1.47,14.67,4.0,0.97,-0.168,-0.286,0.0,0.538,0.08,0.0
JIO10084,6.0,Gujarat,Operations,F,138.0,15.0,11.0,14.0,0.921,2.88,-0.98,12.85,3.0,5.37,-0.298,0.116,2.0,0.39,-0.167,1.0
JIO10085,6.0,Mumbai,IT,M,34.0,16.0,22.0,2.0,0.904,3.67,-1.7,14.73,0.0,6.02,-0.712,0.06,1.0,0.407,0.033,1.0
JIO10086,4.0,West Bengal,Technology,M,10.0,3.0,17.0,2.0,0.996,4.3,0.02,13.94,3.0,1.05,0.524,-0.205,0.0,0.266,0.08,0.0
JIO10087,4.0,Rajasthan,IT,F,172.0,10.0,0.0,24.0,0.867,4.19,-1.48,22.24,4.0,2.62,-0.072,-0.195,0.0,0.271,-0.059,0.0
JIO10088,3.0,Tamil Nadu,Finance,M,84.0,41.0,16.0,27.0,1.044,4.24,0.41,18.07,2.0,1.82,0.731,0.214,0.0,0.167,-0.025,0.0
JIO10089,4.0,UP East,HR,M,8.0,5.0,11.0,26.0,1.123,3.97,1.04,6.83,4.0,2.54,-0.285,-0.238,0.0,0.221,-0.125,1.0
JIO10090,5.0,West Bengal,Finance,M,119.0,39.0,11.0,3.0,1.014,3.9,1.18,16.58,0.0,1.64,0.542,-0.16,1.0,0.085,0.005,0.0
JIO10091,4.0,Mumbai,Network,F,157.0,27.0,12.0,28.0,1.051,2.88,0.6,18.75,4.0,0.11,0.457,0.607,2.0,0.064,0.034,0.0
JIO10092,4.0,Karnataka,Network,M,57.0,25.0,16.0,10.0,0.846,3.63,1.0,4.04,4.0,3.09,-1.123,-0.233,3.0,0.248,-0.314,1.0
JIO10093,7.0,UP East,IT,F,48.0,11.0,10.0,30.0,1.036,3.32,0.66,8.51,2.0,2.91,0.033,0.067,2.0,0.177,-0.062,1.0
JIO10094,3.0,Delhi,HR,F,104.0,26.0,21.0,5.0,1.036,3.73,0.52,16.57,3.0,1.53,-0.11,0.562,0.0,0.455,0.091,0.0
JIO10095,6.0,Gujarat,IT,M,154.0,40.0,4.0,2.0,0.78,2.33,0.41,11.22,2.0,5.04,-0.922,0.035,4.0,0.147,-0.213,1.0
JIO10096,4.0,Tamil Nadu,Operations,M,68.0,0.0,2.0,3.0,1.051,3.14,1.11,20.98,2.0,3.05,0.078,0.434,1.0,0.045,-0.078,0.0
JIO10097,4.0,Mumbai,Sales,F,128.0,4.0,12.0,23.0,1.116,3.97,-4.87,20.94,3.0,2.88,0.778,-0.024,0.0,0.336,0.012,0.0
JIO10098,4.0,Rajasthan,HR,M,17.0,4.0,5.0,6.0,0.779,3.96,-0.96,10.08,1.0,3.86,-0.627,-0.075,1.0,0.155,0.069,1.0
JIO10099,3.0,Punjab,Finance,M,116.0,32.0,13.0,2.0,0.734,3.58,1.92,19.23,2.0,5.26,-0.265,0.083,3.0,0.259,0.091,0.0
JIO10100,4.0,Tamil Nadu,HR,F,119.0,18.0,18.0,25.0,0.903,4.25,-0.91,6.79,1.0,2.51,-0.113,-0.604,1.0,0.116,-0.139,1.0
JIO10101,5.0,West Bengal,Technology,F,135.0,18.0,21.0,29.0,0.828,3.76,1.36,10.13,2.0,4.75,-0.585,-0.768,1.0,0.283,-0.163,1.0
JIO10102,3.0,Tamil Nadu,Network,M,39.0,19.0,11.0,3.0,1.134,3.32,-3.96,14.38,4.0,4.68,1.012,-0.242,0.0,0.561,0.129,0.0
JIO10103,6.0,Maharashtra,Sales,M,138.0,41.0,5.0,1.0,1.155,4.19,-2.46,19.27,2.0,2.78,0.85,0.584,1.0,0.186,0.051,0.0
JIO10104,3.0,UP East,Sales,F,61.0,32.0,10.0,35.0,0.887,2.42,-1.08,12.4,4.0,2.81,0.423,0.027,1.0,0.045,-0.024,0.0
JIO10105,5.0,Gujarat,HR,M,168.0,36.0,14.0,23.0,1.144,4.79,0.93,15.24,2.0,2.51,-0.047,0.605,1.0,0.028,-0.093,0.0
JIO10106,4.0,Karnataka,Network,M,27.0,20.0,19.0,18.0,1.086,5.0,-1.47,13.42,3.0,0.45,0.576,-0.649,1.0,0.22,0.043,0.0
JIO10107,5.0,Karnataka,IT,M,141.0,47.0,22.0,22.0,1.161,2.86,-1.77,8.09,1.0,5.61,0.029,-0.503,1.0,0.266,-0.181,1.0
JIO10108,3.0,Gujarat,IT,F,156.0,8.0,14.0,35.0,1.001,3.43,-1.56,24.88,3.0,2.7,0.271,0.365,0.0,0.458,0.026,0.0
JIO10109,7.0,West Bengal,Operations,M,62.0,42.0,15.0,27.0,1.246000000000005,2.62,-0.35,18.53,3.0,3.0,0.031,0.068,0.0,0.063,-0.004,0.0
JIO10110,3.0,Delhi,Finance,M,104.0,1.0,12.0,27.0,0.897,3.55,-0.52,15.25,0.0,1.59,-0.732,0.414,1.0,0.03,-0.018,0.0
JIO10111,3.0,UP East,Finance,F,164.0,36.0,15.0,35.0,1.025,4.42,0.49,18.23,2.0,2.94,0.335,0.169,1.0,0.29,-0.093,0.0
JIO10112,3.0,Tamil Nadu,IT,M,8.0,1.0,11.0,17.0,0.819,3.65,1.04,16.49,2.0,6.61,0.368,0.162,1.0,0.608,-0.126,1.0
JIO10113,3.0,Rajasthan,Sales,M,101.0,7.0,0.0,5.0,1.033,2.95,-1.11,8.65,1.0,4.27,-0.332,-0.402,4.0,0.318,-0.192,1.0
JIO10114,5.0,Rajasthan,Operations,M,158.0,34.0,21.0,22.0,1.1,2.48,0.87,25.0,5.0,0.47,-0.071,0.346,1.0,0.13,0.101,0.0
JIO10115,3.0,Rajasthan,Finance,M,139.0,17.0,23.0,26.0,0.917,4.14,-0.01,8.85,3.0,2.19,0.295,-0.363,5.0,0.13,-0.08,1.0
JIO10116,3.0,Gujarat,Operations,M,128.0,45.0,10.0,32.0,0.87,2.43,0.36,21.58,1.0,1.55,0.251,0.387,2.0,0.017,-0.018,0.0
JIO10117,3.0,Maharashtra,Operations,F,108.0,37.0,23.0,25.0,1.007,3.33,1.63,20.17,1.0,0.67,-0.029,0.482,0.0,0.066,0.026,0.0
JIO10118,4.0,Punjab,IT,M,152.0,22.0,16.0,28.0,1.15,2.4,-6.86,14.54,1.0,0.42,0.237,0.107,1.0,0.009,-0.094,0.0
JIO10119,5.0,Karnataka,Finance,M,71.0,15.0,22.0,32.0,1.208,3.54,0.6,25.0,2.0,4.94,-0.689,0.402,1.0,0.194,-0.075,0.0
JIO10120,4.0,Tamil Nadu,Finance,M,62.0,34.0,9.0,32.0,0.918,3.15,1.25,25.0,4.0,5.9,-0.378,-0.113,0.0,0.191,-0.084,0.0
JIO10121,5.0,Punjab,Sales,M,16.0,16.0,6.0,23.0,0.992,4.36,-1.92,18.57,4.0,0.0,0.173,-0.079,0.0,0.471,-0.027,0.0
JIO10122,4.0,Karnataka,HR,F,42.0,42.0,16.0,31.0,1.01,4.4,3.45,15.44,0.0,2.25,0.189,0.554,1.0,0.068,0.018,0.0
JIO10123,6.0,Punjab,IT,M,115.0,42.0,3.0,2.0,1.088,1.86,-3.24,13.65,0.0,0.58,-0.506,-0.037,0.0,0.225,-0.017,0.0
JIO10124,3.0,Rajasthan,Operations,M,118.0,39.0,9.0,8.0,1.006,4.24,2.05,17.22,4.0,4.72,-0.172,0.454,0.0,0.012,-0.039,0.0
JIO10125,4.0,Karnataka,Finance,M,116.0,45.0,19.0,26.0,1.005,3.36,-2.33,18.17,2.0,2.12,-0.147,0.681,2.0,0.066,0.015,0.0
JIO10126,6.0,Karnataka,Sales,M,2.0,2.0,12.0,13.0,0.94,3.7,0.57,17.74,1.0,3.18,0.202,-0.006,1.0,0.141,-0.139,0.0
JIO10127,4.0,Tamil Nadu,HR,M,175.0,12.0,16.0,21.0,1.022,3.46,-0.35,22.8,3.0,1.81,0.226,0.257,1.0,0.199,-0.028,0.0
JIO10128,4.0,West Bengal,IT,F,163.0,35.0,2.0,2.0,1.024,3.25,-1.85,24.38,2.0,1.96,-0.132,-0.23,1.0,0.386,-0.048,0.0
JIO10129,7.0,Rajasthan,Operations,M,45.0,15.0,2.0,11.0,1.004,1.82,-5.38,21.1,2.0,3.33,0.057,0.508,0.0,0.284,-0.043,0.0
JIO10130,3.0,Punjab,HR,M,67.0,31.0,3.0,22.0,0.987,3.78,0.63,23.39,2.0,1.79,0.81,0.475,1.0,0.329,-0.104,0.0
JIO10131,4.0,Rajasthan,IT,M,25.0,13.0,22.0,30.0,0.746,3.86,-1.76,9.31,3.0,3.41,-0.567,-0.482,1.0,0.233,-0.091,1.0
JIO10132,3.0,Tamil Nadu,HR,M,155.0,6.0,14.0,17.0,0.848,4.05,-2.17,8.53,0.0,4.38,-0.802,-0.653,4.0,0.107,0.066,1.0
JIO10133,5.0,Maharashtra,Operations,F,63.0,15.0,17.0,5.0,0.855,2.59,-3.26,20.1,3.0,0.79,-0.038,-0.4,0.0,0.16,0.088,0.0
JIO10134,3.0,Mumbai,Network,M,34.0,30.0,6.0,4.0,0.93,3.36,0.89,25.0,5.0,2.67,1.04,0.104,0.0,0.142,-0.035,0.0
JIO10135,3.0,Delhi,Sales,M,47.0,1.0,9.0,4.0,1.246000000000005,3.86,-1.4,13.97,0.0,1.98,0.423,0.081,0.0,0.306,0.069,0.0
JIO10136,7.0,UP East,HR,M,160.0,39.0,8.0,4.0,0.937,3.95,-4.67,18.3,2.0,2.09,0.553,-0.339,1.0,0.195,0.176,0.0
JIO10137,6.0,Mumbai,Network,M,173.0,15.0,3.0,6.0,1.097,3.56,0.01,21.37,0.0,1.29,0.061,0.29,0.0,0.107,-0.019,0.0
JIO10138,4.0,UP East,Finance,M,5.0,2.0,13.0,3.0,0.941,3.25,-0.73,23.33,3.0,2.84,-0.025,-0.743,0.0,0.026,-0.017,0.0
JIO10139,4.0,Tamil Nadu,Sales,M,157.0,47.0,18.0,8.0,1.087,3.59,-0.01,4.49,3.0,4.87,-0.328,0.084,2.0,0.133,-0.263,1.0
JIO10140,5.0,Maharashtra,Network,F,39.0,13.0,10.0,15.0,0.967,3.71,-1.11,15.64,4.0,1.3,0.696,-0.082,0.0,0.098,0.064,0.0
JIO10141,5.0,Tamil Nadu,Operations,M,54.0,10.0,16.0,16.0,1.117,2.58,-6.19,11.8,2.0,4.16,-0.889,-0.192,0.0,0.342,0.1,1.0
JIO10142,3.0,Punjab,Technology,M,74.0,37.0,19.0,1.0,0.827,5.0,3.73,16.8,0.0,5.53,-0.649,-0.443,0.0,0.26,-0.021,1.0
JIO10143,6.0,Maharashtra,HR,M,99.0,3.0,4.0,12.0,0.943,2.6,4.48,16.76,3.0,4.46,-0.64,-0.147,5.0,0.019,-0.024,1.0
JIO10144,4.0,UP East,Finance,F,171.0,32.0,11.0,31.0,0.87,4.53,-1.34,7.74,0.0,4.18,-0.623,-0.043,1.0,0.392,-0.101,1.0
JIO10145,5.0,Maharashtra,Network,F,42.0,38.0,14.0,5.0,1.065,3.04,2.06,15.81,3.0,2.2,0.226,-0.155,0.0,0.154,0.014,0.0
JIO10146,5.0,Rajasthan,HR,M,169.0,43.0,0.0,16.0,0.977,4.05,3.13,10.2,3.0,2.74,0.003,0.44,0.0,0.022,-0.042,0.0
JIO10147,3.0,Mumbai,Sales,F,67.0,23.0,15.0,5.0,0.976,3.74,3.9,15.89,1.0,2.01,0.729,0.613,1.0,0.127,-0.007,0.0
JIO10148,4.0,Tamil Nadu,Sales,F,19.0,0.0,18.0,4.0,1.116,2.79,-3.01,21.14,2.0,4.42,0.403,0.278,0.0,0.015,-0.122,0.0
JIO10149,4.0,Punjab,Technology,M,77.0,32.0,20.0,12.0,1.15,4.7,-4.19,19.35,3.0,3.42,0.861,0.33,1.0,0.021,0.163,0.0
JIO10150,3.0,Punjab,Network,M,134.0,5.0,12.0,3.0,0.946,3.62,-4.34,6.66,2.0,5.29,-1.121,-0.315,0.0,0.035,-0.233,1.0
JIO10151,3.0,Delhi,IT,F,80.0,33.0,12.0,5.0,1.071,2.96,2.65,14.46,2.0,5.29,-0.107,-0.874,2.0,0.182,-0.011,1.0
JIO10152,6.0,Tamil Nadu,Operations,M,170.0,40.0,7.0,21.0,0.87,3.87,-3.12,13.77,5.0,0.19,-0.408,-0.056,0.0,0.063,0.173,0.0
JIO10153,3.0,Tamil Nadu,Sales,F,75.0,18.0,21.0,33.0,1.125,3.93,1.29,15.46,5.0,1.75,0.077,-0.246,0.0,0.077,-0.034,0.0
JIO10154,3.0,Gujarat,Operations,M,6.0,4.0,22.0,19.0,1.01,3.5,1.55,18.12,3.0,4.3,0.46,0.386,0.0,0.243,-0.103,0.0
