employee_id,recency_manager_change,trend_login,trend_performance,trend_training,volatility_leave,volatility_performance,org_peer_attrition,org_manager_attrition,org_team_shrink,comp_compa_ratio,comp_hike_vs_median,comp_months_no_hike,career_tenure_at_band,career_promotion_velocity,overload_overtime_slope,overload_afterhours_login,is_new_joiner,onboard_completion_rate,onboard_manager_1on1s,interact_high_performer_no_promo,interact_underpaid_declining,interact_new_mgr_peer_left,interact_post_appraisal_dissatisfied,interact_overload_underpaid,interact_onboard_abandoned,interact_onboard_idle,band,tenure_months,perf_rating_current,login_freq_30d,training_completions_90d,leave_days_30d,gender_encoded,dept_Finance,dept_IT,dept_Network,dept_Operations,dept_Sales,dept_Technology,circle_Delhi,circle_Karnataka,circle_Maharashtra,circle_Mumbai,circle_Punjab,circle_Rajasthan,circle_Tamil Nadu,circle_UP East,circle_West Bengal,attrition_flag
JIO10013,720.0,-0.329,0.37,1,0.03780701754385964,0.37,7,0.098,1,1.127,3.93,12.0,21.0,56.5,-0.6696480856302293,1.0,0,1.0,0.0,0,0,0,0,0,0,0,4.0,113.0,3.41,15.55,3.0,4.31,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0
JIO10014,150.0,-0.685,-0.191,1,0.04012987012987013,0.191,3,0.487,1,1.077,2.68,5.0,16.0,76.0,-0.4537212413795614,5.0,0,1.0,0.0,0,0,0,0,0,0,0,3.0,76.0,3.75,14.29,2.0,3.09,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0
JIO10015,720.0,0.106,0.442,1,0.03265432098765432,0.442,4,0.128,0,1.063,-5.28,3.0,36.0,161.0,-0.19680063523434044,1.0,0,1.0,0.0,0,0,0,0,0,0,0,3.0,161.0,3.56,16.27,3.0,5.29,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0
JIO10016,870.0,0.253,0.531,1,0.03893617021276596,0.531,7,0.007,0,1.013,0.3,1.0,24.0,46.0,-0.3544908921170483,1.0,0,1.0,0.0,1,0,0,0,0,0,0,3.0,46.0,4.58,23.6,4.0,1.83,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0
JIO10017,540.0,0.77,0.14,1,0.05261904761904762,0.14,8,0.1,0,0.993,1.11,0.0,45.0,27.666666666666668,0.10998656640834585,0.0,0,1.0,0.0,0,0,0,0,0,0,0,5.0,83.0,3.18,11.86,1.0,4.42,1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,0.0
JIO10018,750.0,0.201,-0.068,1,0.0,0.068,6,0.119,0,1.134,5.35,18.0,14.0,38.0,-0.3178084264324238,1.0,0,1.0,0.0,0,0,0,0,0,0,0,3.0,38.0,4.53,18.88,5.0,0.0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0
JIO10019,690.0,-0.577,-1.099,-1,0.02690721649484536,1.099,5,0.237,0,0.838,-2.05,20.0,18.0,48.0,-0.34430629546735203,2.0,0,1.0,0.0,0,1,0,0,0,0,0,4.0,96.0,4.84,10.37,0.0,2.61,1,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0
JIO10020,60.0,-0.796,-0.209,1,0.036015625,0.209,9,0.13,1,0.966,2.86,22.0,27.0,127.0,0.662977069122544,1.0,0,1.0,0.0,0,0,1,0,0,0,0,3.0,127.0,3.44,12.68,2.0,4.61,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,1.0
JIO10021,300.0,-0.11,-0.07,1,0.02982142857142857,0.07,7,0.066,0,0.813,0.48,9.0,18.0,37.0,-0.07902170517028748,1.0,0,1.0,0.0,0,1,0,0,0,0,0,5.0,111.0,3.09,12.41,1.0,3.34,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0
JIO10022,720.0,0.456,0.104,1,0.019329608938547484,0.104,12,0.218,1,0.96,-4.0,7.0,10.0,178.0,0.023634871640773342,3.0,0,1.0,0.0,0,0,0,0,0,0,0,3.0,178.0,3.8,14.36,4.0,3.46,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0.0
JIO10023,90.0,0.223,0.224,1,0.03081081081081081,0.224,6,0.205,0,0.998,-1.61,5.0,23.0,73.0,-0.49866186517470984,1.0,0,1.0,0.0,0,0,0,0,0,0,0,3.0,73.0,3.77,20.74,2.0,2.28,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0
JIO10024,1020.0,0.216,0.299,1,0.02411111111111111,0.299,4,0.025,0,1.025,-0.05,7.0,39.0,22.25,-0.19053395358381392,1.0,0,1.0,0.0,0,0,0,0,0,0,0,6.0,89.0,3.21,19.31,4.0,2.17,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0.0
JIO10025,450.0,0.536,0.441,1,0.05382352941176471,0.441,6,0.197,1,1.0,-0.07,4.0,9.0,33.0,0.03882290639845313,2.0,0,1.0,0.0,0,0,0,0,0,0,0,3.0,33.0,3.45,23.15,1.0,1.83,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0
JIO10026,510.0,1.165,0.283,1,0.02276595744680851,0.283,9,0.008,0,1.07,-3.03,10.0,39.0,35.0,-0.40284775209780593,3.0,0,1.0,0.0,0,0,0,0,0,0,0,6.0,140.0,3.21,14.84,6.0,3.21,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0
JIO10027,30.0,-0.569,-0.82,-1,0.03392638036809816,0.82,6,0.257,0,0.771,-1.32,18.0,43.0,81.0,0.28149430642098516,4.0,0,1.0,0.0,0,1,1,0,0,0,0,4.0,162.0,3.51,7.93,0.0,5.53,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0
JIO10028,90.0,-0.159,0.069,-1,0.1615,0.069,7,0.053,0,1.137,0.72,17.0,16.0,6.333333333333333,-0.21022354147158173,1.0,0,1.0,0.0,0,0,0,0,0,0,0,5.0,19.0,1.82,14.89,0.0,3.23,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0
JIO10029,750.0,0.856,-0.335,1,0.0,0.335,9,0.223,1,0.972,3.89,10.0,45.0,96.0,-0.10209281242764687,1.0,0,1.0,0.0,0,0,0,0,0,0,0,3.0,96.0,3.44,14.25,1.0,0.0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0
JIO10030,570.0,0.892,0.486,1,0.011494252873563218,0.486,10,0.181,0,0.927,-2.2,23.0,29.0,86.0,-0.2105973142802889,2.0,0,1.0,0.0,0,0,0,0,0,0,0,3.0,86.0,3.58,12.63,2.0,1.0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,0.0
JIO10031,30.0,-0.14,0.165,-1,0.03770114942528736,0.165,5,0.133,0,1.001,-2.71,12.0,11.0,86.0,0.6482973645781281,0.0,0,1.0,0.0,0,0,1,0,0,0,0,3.0,86.0,4.09,21.23,0.0,3.28,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.0
JIO10032,720.0,0.858,-0.119,1,0.01601307189542484,0.119,4,0.149,0,0.981,1.82,3.0,32.0,76.0,-0.004724028658276872,2.0,0,1.0,0.0,0,0,0,0,0,0,0,4.0,152.0,3.53,15.36,2.0,2.45,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0
JIO10033,390.0,0.196,-0.338,1,0.0406,0.338,7,0.01,0,0.812,-0.89,23.0,15.0,49.0,-0.3701988251345651,0.0,0,1.0,0.0,0,0,0,0,0,0,0,3.0,49.0,3.24,21.72,3.0,2.03,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0
JIO10034,90.0,-0.622,-0.128,-1,0.018571428571428572,0.128,6,0.035,0,1.133,2.16,16.0,38.0,41.75,0.28789071923611614,1.0,0,1.0,0.0,0,0,0,0,0,0,0,6.0,167.0,1.82,16.09,0.0,3.12,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0
JIO10035,30.0,-0.302,-0.857,1,0.07698412698412697,0.857,9,0.476,1,1.246,-2.12,14.0,43.0,31.0,-0.2772952774898577,3.0,0,1.0,0.0,0,0,1,0,0,0,0,4.0,62.0,3.15,3.66999999999989,1.0,4.85,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,1.0
JIO10036,810.0,0.718,-0.1,1,0.13333333333333333,0.1,8,0.339,0,1.066,3.37,19.0,7.0,2.75,0.07310225825166439,3.0,1,0.9279947786717745,4.0,0,0,0,0,0,0,0,6.0,11.0,3.33,15.93,2.0,1.6,0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,0.0
JIO10037,960.0,-0.237,-0.287,1,0.14400000000000002,0.287,4,0.424,1,1.186,-2.88,4.0,7.0,29.0,-0.5358845433579214,1.0,0,1.0,0.0,0,0,0,0,0,0,0,3.0,29.0,3.6,9.86,2.0,4.32,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0
JIO10038,450.0,-1.357,-0.399,1,0.030838323353293416,0.399,6,0.165,1,0.993,2.47,18.0,44.0,83.0,-0.31486511711445064,3.0,0,1.0,0.0,0,0,0,0,0,0,0,4.0,166.0,3.29,10.19,1.0,5.15,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0
JIO10039,810.0,0.776,0.077,-1,0.024782608695652172,0.077,10,0.114,0,0.942,-3.05,16.0,21.0,68.0,0.06890143255419323,0.0,0,1.0,0.0,1,0,0,0,0,0,0,3.0,68.0,4.15,19.47,0.0,1.71,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0
JIO10040,60.0,0.801,-0.768,1,0.22678571428571428,0.768,8,0.214,0,1.055,-0.9,5.0,25.0,9.0,0.25846330299839365,1.0,0,1.0,0.0,0,0,1,0,0,0,0,5.0,27.0,2.11,13.35,2.0,6.35,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.0
JIO10041,780.0,0.526,0.396,1,0.073,0.396,12,0.026,0,0.809,-2.02,21.0,5.0,9.0,0.05997889841648967,0.0,1,0.7137831312611697,4.0,0,0,0,0,0,0,0,3.0,9.0,3.37,17.52,7.0,0.73,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0.0
JIO10042,570.0,-0.516,0.008,-1,0.1285294117647059,0.008,9,0.394,0,0.832,4.44,5.0,1.0,16.5,0.10952310116411582,4.0,0,1.0,0.0,0,1,0,0,0,0,0,4.0,33.0,3.07,12.21,0.0,4.37,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,1.0
JIO10043,840.0,0.629,-0.071,1,0.004140625,0.071,8,0.033,1,1.178,-1.43,17.0,10.0,63.5,-0.10538629345625107,1.0,0,1.0,0.0,0,0,0,0,0,0,0,4.0,127.0,3.54,16.3,3.0,0.53,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0
JIO10044,870.0,-0.47,0.536,1,0.0232,0.536,10,0.254,0,0.746,2.69,19.0,11.0,4.8,-0.5174826966285996,4.0,0,1.0,0.0,0,1,0,0,0,0,0,7.0,24.0,2.77,19.65,5.0,0.58,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0
JIO10045,750.0,0.341,0.127,1,0.057857142857142864,0.127,11,0.423,0,1.035,-3.98,23.0,13.0,41.0,-0.251945472938148,2.0,0,1.0,0.0,0,0,0,0,0,0,0,3.0,41.0,3.14,13.52,3.0,2.43,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0.0
JIO10046,660.0,-0.348,-0.233,-1,0.018934426229508198,0.233,5,0.136,0,0.774,-5.8,4.0,11.0,121.0,-0.011223569835925623,2.0,0,1.0,0.0,0,1,0,0,0,0,0,3.0,121.0,4.24,10.16,0.0,2.31,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.0
JIO10047,180.0,-0.451,-0.123,1,0.07792452830188679,0.123,8,0.343,1,1.005,1.86,17.0,7.0,52.0,0.5199927791766205,5.0,0,1.0,0.0,0,0,0,0,0,0,0,3.0,52.0,2.74,10.39,1.0,4.13,1,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,1.0
JIO10048,150.0,-0.384,0.488,1,0.024506172839506173,0.488,6,0.181,0,1.091,5.12,20.0,8.0,80.5,0.12026640134896148,0.0,0,1.0,0.0,0,0,0,0,0,0,0,4.0,161.0,3.22,20.78,4.0,3.97,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
JIO10049,930.0,0.655,0.145,1,0.018828828828828827,0.145,4,0.038,0,1.122,-1.57,2.0,8.0,55.0,-0.6170640543769569,0.0,0,1.0,0.0,0,0,0,1,0,0,0,4.0,110.0,3.89,13.27,4.0,2.09,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0
JIO10050,660.0,0.361,0.05,1,0.010509554140127388,0.05,8,0.204,0,0.741,-0.33,17.0,35.0,78.0,0.11342938928817824,0.0,0,1.0,0.0,0,0,0,0,0,0,0,4.0,156.0,3.68,23.26,2.0,1.65,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.0
JIO10051,930.0,-0.084,0.072,1,0.013260869565217392,0.072,3,0.048,0,1.04,-3.47,9.0,23.0,34.25,-0.13477879814571078,1.0,0,1.0,0.0,1,0,0,0,0,0,0,6.0,137.0,4.21,14.35,3.0,1.83,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0
JIO10052,480.0,-0.885,-0.505,-1,0.016363636363636365,0.505,3,0.215,1,0.874,0.66,8.0,38.0,153.0,-0.08692270010708555,4.0,0,1.0,0.0,1,0,0,0,0,0,0,3.0,153.0,4.55,17.31,0.0,2.52,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1.0
JIO10053,390.0,0.65,-0.005,1,0.02046242774566474,0.005,6,0.072,0,1.224,-2.38,22.0,33.0,172.0,0.21408670109430375,1.0,0,1.0,0.0,0,0,0,0,0,0,0,3.0,172.0,3.89,23.24,1.0,3.54,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0
JIO10054,840.0,0.305,0.973,1,0.10787878787878788,0.973,8,0.058,0,1.065,0.17,3.0,13.0,32.0,0.3608498328735828,1.0,0,1.0,0.0,0,0,0,0,0,0,0,3.0,32.0,3.49,18.35,2.0,3.56,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0
JIO10055,690.0,-0.276,-0.007,1,0.012499999999999999,0.007,9,0.015,0,1.009,-5.01,13.0,17.0,81.5,0.3259480416906695,4.0,0,1.0,0.0,0,0,0,0,0,0,0,4.0,163.0,3.78,25.0,2.0,2.05,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.0
JIO10056,300.0,0.271,-0.12,1,0.011677018633540372,0.12,6,0.256,0,0.892,-6.88,18.0,22.0,40.0,-0.29372613312792345,0.0,0,1.0,0.0,0,0,0,0,0,0,0,6.0,160.0,3.78,15.75,1.0,1.88,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0
JIO10057,810.0,-1.213,0.062,1,0.44875,0.062,8,0.121,1,1.082,-1.65,4.0,6.0,2.3333333333333335,0.04177566845207489,1.0,1,0.7387128149495902,1.0,0,0,0,0,0,0,0,5.0,7.0,2.04,16.28,2.0,3.59,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,1.0
JIO10058,660.0,0.047,0.454,1,0.01930379746835443,0.454,6,0.503,0,1.147,2.57,16.0,12.0,52.333333333333336,0.11594220099124737,1.0,0,1.0,0.0,0,0,0,0,0,0,0,5.0,157.0,3.25,16.48,4.0,3.05,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0
JIO10059,600.0,0.092,0.432,1,0.05909090909090909,0.432,9,0.44,0,0.878,-0.79,10.0,3.0,4.2,0.3414407944928257,0.0,0,1.0,0.0,0,0,0,0,1,0,0,7.0,21.0,1.82,22.78,1.0,1.3,1,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0
JIO10060,780.0,-0.519,0.001,-1,0.26545454545454544,0.001,7,0.029,0,0.893,-3.53,1.0,7.0,2.5,-0.01771098324585149,5.0,1,0.6639947362495373,3.0,0,0,0,1,0,0,1,6.0,10.0,4.05,12.49,0.0,2.92,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1.0
JIO10061,480.0,-0.841,-0.204,-1,0.0308,0.204,6,0.281,1,1.106,0.11,13.0,7.0,74.5,0.08501935816766401,2.0,0,1.0,0.0,0,0,0,0,0,0,0,4.0,149.0,3.23,17.72,0.0,4.62,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0
JIO10062,510.0,0.732,-0.407,1,0.1123076923076923,0.407,13,0.121,0,0.895,-1.5,15.0,9.0,12.5,-0.38721724090210985,0.0,0,1.0,0.0,0,0,0,0,0,0,0,4.0,25.0,3.73,16.31,3.0,2.92,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.0
JIO10063,840.0,-0.736,-0.407,1,0.12872727272727272,0.407,5,0.227,1,0.787,-2.76,19.0,44.0,27.0,-0.2686723184282348,3.0,0,1.0,0.0,1,1,0,0,0,0,0,4.0,54.0,4.28,11.12,1.0,7.08,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0
JIO10064,180.0,-0.414,-0.311,1,0.009298245614035089,0.311,4,0.007,0,0.934,0.31,21.0,10.0,56.5,0.2843840378379693,3.0,0,1.0,0.0,0,0,0,0,0,0,0,4.0,113.0,4.46,17.09,4.0,1.06,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0.0
JIO10065,150.0,0.308,-0.101,1,0.02404255319148936,0.101,10,0.02,0,0.952,-1.07,9.0,20.0,23.25,0.474684009999788,1.0,0,1.0,0.0,0,0,0,0,0,0,0,6.0,93.0,2.42,6.51,3.0,2.26,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0
JIO10066,930.0,0.047,0.424,1,0.059333333333333335,0.424,5,0.181,0,1.014,0.27,19.0,42.0,14.666666666666666,-0.025203542553116846,0.0,0,1.0,0.0,0,0,0,0,0,0,0,5.0,44.0,3.52,17.32,3.0,2.67,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0
JIO10067,1020.0,-0.279,-0.922,-1,0.04078125,0.922,6,0.339,0,0.954,3.92,16.0,32.0,127.0,0.3512365142622084,1.0,0,1.0,0.0,0,0,0,0,0,0,0,3.0,127.0,3.84,19.52,0.0,5.22,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0
JIO10068,750.0,-0.205,0.14,1,0.05316666666666667,0.14,9,0.04,0,0.846,-6.01,6.0,31.0,29.5,0.12657260876667195,1.0,0,1.0,0.0,0,1,0,0,0,0,0,4.0,59.0,2.95,14.1,4.0,3.19,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
JIO10069,780.0,-0.476,0.554,1,0.052533333333333335,0.554,6,0.157,0,0.846,1.45,3.0,40.0,74.0,-0.22579191411179347,3.0,0,1.0,0.0,0,1,0,0,0,0,0,3.0,74.0,3.22,18.19,2.0,3.94,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0
JIO10070,540.0,0.625,1.006,-1,0.10600000000000001,1.006,4,0.195,0,1.038,4.02,22.0,13.0,3.8,0.12648846192794486,4.0,0,1.0,0.0,0,0,0,0,0,0,0,7.0,19.0,3.53,13.24,0.0,2.12,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.0
JIO10071,120.0,0.783,0.28,1,0.023712121212121212,0.28,6,0.008,0,1.012,0.67,20.0,47.0,43.666666666666664,0.5383127982630892,0.0,0,1.0,0.0,0,0,0,0,0,0,0,5.0,131.0,3.45,19.0,2.0,3.13,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0
JIO10072,780.0,0.263,0.361,-1,0.322,0.361,9,0.083,1,0.849,-2.88,2.0,4.0,2.0,-0.012539113688483037,3.0,1,0.5223539816821381,1.0,0,0,0,1,0,1,0,4.0,4.0,3.16,20.73,0.0,1.61,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0
JIO10073,240.0,-0.453,0.343,1,0.029649122807017543,0.343,6,0.053,0,0.934,-2.66,18.0,47.0,56.5,0.6976252795349022,0.0,0,1.0,0.0,0,0,0,0,0,0,0,4.0,113.0,3.24,14.35,2.0,3.38,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1.0
JIO10074,240.0,-0.634,-0.48,-1,0.06367924528301887,0.48,6,0.392,1,0.826,-1.37,16.0,15.0,26.25,-0.7669107864314104,5.0,0,1.0,0.0,0,1,0,0,0,0,0,6.0,105.0,2.51,16.37,0.0,6.75,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,1.0
JIO10075,540.0,0.192,-0.064,1,0.013798882681564246,0.064,10,0.222,1,0.927,-6.79,3.0,27.0,59.333333333333336,0.2876658765313283,2.0,0,1.0,0.0,0,0,0,0,0,0,0,5.0,178.0,3.45,19.41,3.0,2.47,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.0
JIO10076,150.0,-0.522,0.047,1,0.07,0.047,5,0.211,1,0.796,-3.31,20.0,38.0,46.0,0.18046647388335993,2.0,0,1.0,0.0,0,1,0,0,0,0,0,3.0,46.0,3.06,14.12,2.0,3.29,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
JIO10077,930.0,1.03,0.028,1,0.038181818181818185,0.028,6,0.17,0,0.78,2.82,6.0,44.0,36.333333333333336,-0.10465257266305361,1.0,0,1.0,0.0,1,0,0,0,0,0,0,5.0,109.0,4.03,20.14,4.0,4.2,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0
JIO10078,120.0,-0.563,-0.244,1,0.06423076923076923,0.244,7,0.207,0,0.995,-1.16,2.0,27.0,25.5,0.1821162717874258,1.0,0,1.0,0.0,0,0,0,0,0,0,0,4.0,51.0,3.93,11.23,1.0,3.34,1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,1.0
JIO10079,990.0,-0.58,-0.356,1,0.09142857142857143,0.356,3,0.088,1,1.142,-1.98,21.0,31.0,20.5,-0.5456491201103124,1.0,0,1.0,0.0,0,0,0,0,0,0,0,4.0,41.0,2.13,6.38,2.0,3.84,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,1.0
JIO10080,150.0,0.578,-0.066,1,0.010502793296089385,0.066,10,0.648000000000003,0,0.913,-2.44,10.0,2.0,178.0,-0.07688516074312918,3.0,0,1.0,0.0,0,0,0,0,0,0,0,3.0,178.0,3.39,12.2,1.0,1.88,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0.0
